1971/1/1,12,晴天,12
1971/1/2,13,阴天,13
1971/1/3,14,晴天,14
1971/1/4,15,阴天,15
1971/1/5,16,晴天,16
1971/1/6,17,阴天,17
1971/1/7,18,晴天,18
1971/1/8,19,阴天,19
1971/1/9,20,晴天,20
1971/1/10,21,阴天,21
1971/1/11,22,晴天,22
1971/1/12,23,阴天,23
1971/1/13,24,晴天,24
1971/1/14,25,阴天,25
1971/1/15,26,晴天,26
1971/1/16,27,阴天,27
1971/1/17,28,晴天,28
1971/1/18,29,阴天,29
1971/1/19,30,晴天,30
1971/1/20,31,阴天,31
1971/1/21,32,晴天,32
1971/1/22,33,阴天,33
1971/1/23,34,晴天,34
1971/1/24,35,阴天,35
1971/1/25,36,晴天,36
1971/1/26,37,阴天,37
1971/1/27,38,晴天,38
1971/1/28,39,阴天,39
1971/1/29,40,晴天,40
1971/1/30,20,阴天,20
1971/1/31,21,晴天,21
1971/2/1,22,阴天,22
1971/2/2,23,晴天,23
1971/2/3,24,阴天,24
1971/2/4,25,晴天,25
1971/2/5,26,阴天,26
1971/2/6,27,晴天,27
1971/2/7,28,阴天,28
1971/2/8,29,晴天,29
1971/2/9,30,阴天,30
1971/2/10,31,晴天,31
1971/2/11,32,阴天,32
1971/2/12,33,晴天,33
1971/2/13,34,阴天,34
1971/2/14,35,阴天,35
1971/2/15,36,晴天,36
1971/2/16,37,阴天,37
1971/2/17,38,晴天,38
1971/2/18,39,阴天,39
1971/2/19,18,晴天,18
1971/2/20,19,阴天,19
1971/2/21,20,晴天,20
1971/2/22,21,阴天,21
1971/2/23,22,晴天,22
1971/2/24,23,阴天,23
1971/2/25,24,晴天,24
1971/2/26,25,阴天,25
1971/2/27,26,晴天,26
1971/2/28,27,阴天,27
1971/3/1,28,晴天,28
1971/3/2,29,阴天,29
1971/3/3,30,晴天,30
1971/3/4,31,阴天,31
1971/3/5,32,晴天,32
1971/3/6,33,阴天,33
1971/3/7,34,晴天,34
1971/3/8,35,阴天,35
1971/3/9,36,晴天,36
1971/3/10,37,阴天,37
1971/3/11,38,晴天,38
1971/3/12,39,阴天,39
1971/3/13,40,晴天,40
1971/3/14,41,阴天,41
1971/3/15,42,晴天,0
1971/3/16,43,阴天,1
1971/3/17,44,晴天,2
1971/3/18,45,阴天,3
1971/3/19,46,晴天,4
1971/3/20,47,阴天,5
1971/3/21,48,晴天,6
1971/3/22,49,阴天,7
1971/3/23,50,晴天,8
1971/3/24,51,阴天,9
1971/3/25,52,晴天,10
1971/3/26,53,阴天,11
1971/3/27,54,晴天,12
1971/3/28,55,阴天,13
1971/3/29,56,晴天,14
1971/3/30,57,阴天,15
1971/3/31,58,晴天,16
1971/4/1,25,阴天,25
1971/4/5,26,晴天,26
1971/4/9,27,阴天,27
1971/4/13,28,晴天,28
1971/4/17,29,阴天,29
1971/4/21,30,晴天,30
1971/4/25,31,阴天,31
1971/4/29,32,晴天,32
1971/5/3,33,阴天,33
1971/5/7,34,晴天,34
1971/5/11,35,阴天,35
1971/5/15,36,晴天,36
1971/5/19,37,阴天,37
1971/5/23,38,晴天,38
1971/5/27,39,阴天,39
1971/5/31,40,晴天,40
1971/6/4,41,阴天,41
1971/6/8,42,晴天,0
1971/6/12,43,阴天,1
1971/6/16,44,晴天,2
1971/6/20,45,阴天,3
1971/6/24,46,晴天,4
1971/6/28,47,阴天,5
1971/7/2,48,晴天,6
1971/7/6,49,阴天,7
1971/7/10,50,晴天,8
1971/7/14,51,阴天,9
1971/7/18,52,晴天,10
1971/7/22,53,阴天,11
1971/7/26,54,晴天,12
1971/7/30,55,阴天,13
1971/8/3,56,晴天,14
1971/8/7,57,阴天,15
1971/8/11,58,晴天,16
1971/8/15,59,阴天,17
1971/8/19,60,晴天,18
1971/8/23,61,阴天,19
1971/8/27,62,晴天,20
1971/8/31,63,阴天,21
1971/9/4,64,晴天,22
1971/9/8,65,阴天,23
1971/9/12,66,晴天,24
1971/9/16,67,阴天,25
1971/9/20,68,晴天,26
1971/9/24,69,阴天,27
1971/9/28,70,晴天,28
1971/10/2,71,阴天,29
1971/10/6,72,晴天,30
1971/10/10,73,阴天,31
1971/10/14,74,晴天,32
1971/10/18,75,阴天,33
1971/10/22,76,晴天,34
1971/10/26,77,阴天,35
1971/10/30,78,晴天,36
1971/11/3,79,阴天,37
1971/11/7,80,晴天,38
1971/11/11,81,阴天,39
1971/11/15,82,晴天,40
1971/11/19,83,阴天,41
1971/11/23,84,晴天,0
1971/11/27,85,阴天,1
1971/12/1,86,晴天,2
1971/12/5,87,阴天,3
1971/12/9,88,晴天,4
1971/12/13,89,阴天,5
