1981/1/1,12,晴天,12
1981/1/2,13,阴天,13
1981/1/3,14,晴天,14
1981/1/4,15,阴天,15
1981/1/5,16,晴天,16
1981/1/6,17,阴天,17
1981/1/7,18,晴天,18
1981/1/8,19,阴天,19
1981/1/9,20,晴天,20
1981/1/10,21,阴天,21
1981/1/11,22,晴天,22
1981/1/12,23,阴天,23
1981/1/13,24,晴天,24
1981/1/14,25,阴天,25
1981/1/15,26,晴天,26
1981/1/16,27,阴天,27
1981/1/17,28,晴天,28
1981/1/18,29,阴天,29
1981/1/19,30,晴天,30
1981/1/20,31,阴天,31
1981/1/21,32,晴天,32
1981/1/22,33,阴天,33
1981/1/23,34,晴天,34
1981/1/24,35,阴天,35
1981/1/25,36,晴天,36
1981/1/26,37,阴天,37
1981/1/27,38,晴天,38
1981/1/28,39,阴天,39
1981/1/29,40,晴天,40
1981/1/30,20,阴天,20
1981/1/31,21,晴天,21
1981/2/1,22,阴天,22
1981/2/2,23,晴天,23
1981/2/3,24,阴天,24
1981/2/4,25,晴天,25
1981/2/5,26,阴天,26
1981/2/6,27,晴天,27
1981/2/7,28,阴天,28
1981/2/8,29,晴天,29
1981/2/9,30,阴天,30
1981/2/10,31,晴天,31
1981/2/11,32,阴天,32
1981/2/12,33,晴天,33
1981/2/13,34,阴天,34
1981/2/14,35,阴天,35
1981/2/15,36,晴天,36
1981/2/16,37,阴天,37
1981/2/17,38,晴天,38
1981/2/18,39,阴天,39
1981/2/19,18,晴天,18
1981/2/20,19,阴天,19
1981/2/21,20,晴天,20
1981/2/22,21,阴天,21
1981/2/23,22,晴天,22
1981/2/24,23,阴天,23
1981/2/25,24,晴天,24
1981/2/26,25,阴天,25
1981/2/27,26,晴天,26
1981/2/28,27,阴天,27
1981/3/1,28,晴天,28
1981/3/2,29,阴天,29
1981/3/3,30,晴天,30
1981/3/4,31,阴天,31
1981/3/5,32,晴天,32
1981/3/6,33,阴天,33
1981/3/7,34,晴天,34
1981/3/8,35,阴天,35
1981/3/9,36,晴天,36
1981/3/10,37,阴天,37
1981/3/11,38,晴天,38
1981/3/12,39,阴天,39
1981/3/13,40,晴天,40
1981/3/14,41,阴天,41
1981/3/15,42,晴天,0
1981/3/16,43,阴天,1
1981/3/17,44,晴天,2
1981/3/18,45,阴天,3
1981/3/19,46,晴天,4
1981/3/20,47,阴天,5
1981/3/21,48,晴天,6
1981/3/22,49,阴天,7
1981/3/23,50,晴天,8
1981/3/24,51,阴天,9
1981/3/25,52,晴天,10
1981/3/26,53,阴天,11
1981/3/27,54,晴天,12
1981/3/28,55,阴天,13
1981/3/29,56,晴天,14
1981/3/30,57,阴天,15
1981/3/31,58,晴天,16
1981/4/1,25,阴天,25
1981/4/5,26,晴天,26
1981/4/9,27,阴天,27
1981/4/13,28,晴天,28
1981/4/17,29,阴天,29
1981/4/21,30,晴天,30
1981/4/25,31,阴天,31
1981/4/29,32,晴天,32
1981/5/3,33,阴天,33
1981/5/7,34,晴天,34
1981/5/11,35,阴天,35
1981/5/15,36,晴天,36
1981/5/19,37,阴天,37
1981/5/23,38,晴天,38
1981/5/27,39,阴天,39
1981/5/31,40,晴天,40
1981/6/4,41,阴天,41
1981/6/8,42,晴天,0
