1991/1/1,12,晴天,12
1991/1/2,13,阴天,13
1991/1/3,14,晴天,14
1991/1/4,15,阴天,15
1991/1/5,16,晴天,16
1991/1/6,17,阴天,17
1991/1/7,18,晴天,18
1991/1/8,19,阴天,19
1991/1/9,20,晴天,20
1991/1/10,21,阴天,21
1991/1/11,22,晴天,22
1991/1/12,23,阴天,23
1991/1/13,24,晴天,24
1991/1/14,25,阴天,25
1991/1/15,26,晴天,26
1991/1/16,27,阴天,27
1991/1/17,28,晴天,28
1991/1/18,29,阴天,29
1991/1/19,30,晴天,30
1991/1/20,31,阴天,31
1991/1/21,32,晴天,32
1991/1/22,33,阴天,33
1991/1/23,34,晴天,34
1991/1/24,35,阴天,35
1991/1/25,36,晴天,36
1991/1/26,37,阴天,37
1991/1/27,38,晴天,38
1991/1/28,39,阴天,39
1991/1/29,40,晴天,40
1991/1/30,20,阴天,20
1991/1/31,21,晴天,21
1991/2/1,22,阴天,22
1991/2/2,23,晴天,23
1991/2/3,24,阴天,24
1991/2/4,25,晴天,25
1991/2/5,26,阴天,26
1991/2/6,27,晴天,27
1991/2/7,28,阴天,28
1991/2/8,29,晴天,29
1991/2/9,30,阴天,30
1991/2/10,31,晴天,31
1991/2/11,32,阴天,32
1991/2/12,33,晴天,33
1991/2/13,34,阴天,34
1991/2/14,35,阴天,35
1991/2/15,36,晴天,36
1991/2/16,37,阴天,37
1991/2/17,38,晴天,38
1991/2/18,39,阴天,39
1991/2/19,18,晴天,18
1991/2/20,19,阴天,19
1991/2/21,20,晴天,20
1991/2/22,21,阴天,21
1991/2/23,22,晴天,22
1991/2/24,23,阴天,23
1991/2/25,24,晴天,24
1991/2/26,25,阴天,25
1991/2/27,26,晴天,26
1991/2/28,27,阴天,27
1991/3/1,28,晴天,28
1991/3/2,29,阴天,29
1991/3/3,30,晴天,30
1991/3/4,31,阴天,31
1991/3/5,32,晴天,32
1991/3/6,33,阴天,33
1991/3/7,34,晴天,34
1991/3/8,35,阴天,35
1991/3/9,36,晴天,36
1991/3/10,37,阴天,37
1991/3/11,38,晴天,38
1991/3/12,39,阴天,39
